market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1772974800,1772974800044,2026-03-08 09:00:00.044,15:00,900,,67324.72,,,,27.6031352,3599.8527301,0.007499999996070983,0.0068965517205250414,7.001953452877937e-06,1103.29505059,0.025018815397784028,67324.7185767753,9.544835610775237e-06,2.113970531958387e-06,,,0.001,140.91,,,,,,,,,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.013,25.0,0.998,599.9,0.995,178.48,0.993,30.0,0.99,18073.23,0.987,25.0,0.999,150.91,,,,,,,,,140.91,19609.11,19750.02,18906.61,150.91,19057.52,0.001,0.0010000000000000009,-0.9857306473613697,0.9841626822377728,0.0011876773085068128,0.9987990037426245,,0.040204782369011136,0.04116972847062482,,-994.595985642151,4735.120972284762,4158.564624006243,-912.4367259162327
btc-updown-15m-1772974800,1772974800045,2026-03-08 09:00:00.045,15:00,900,,67324.72,,,,27.6031352,3599.8527301,0.007499999996070983,0.0068965517205250414,7.001953452877937e-06,1103.29505059,0.025018815397784028,67324.7185767753,9.544835610775237e-06,2.113970531958387e-06,,,0.001,140.91,,,,,,,,,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.013,25.0,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,0.987,25.0,0.999,140.91,,,,,,,,,140.91,19609.11,19750.02,19609.11,140.91,19750.02,0.001,0.0010000000000000009,-0.9857306473613697,0.9857306473613697,0.0011876773085068128,0.9988123226914931,,0.040204782369011136,0.040204782369011136,,-994.595985642151,4735.120972284762,4735.216181008433,-994.6159839093369
btc-updown-15m-1772974800,1772974800045,2026-03-08 09:00:00.045,15:00,900,,67324.72,,,,27.6031352,3599.8527301,0.007499999996070983,0.0068965517205250414,7.001953452877937e-06,1103.29505059,0.025018815397784028,67324.7185767753,9.544835610775237e-06,2.113970531958387e-06,,,,,,,,,,,,,0.001,2366.1,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,0.987,25.0,0.999,140.91,,,,,,,,,0.0,21950.21,21950.21,19609.11,140.91,19750.02,,0.0010000000000000009,,0.9857306473613697,,0.9988123226914931,,0.13557956848704408,0.040204782369011136,,-1202.572595118187,6235.238966173777,4735.216181008433,-994.6159839093369
btc-updown-15m-1772974800,1772974800046,2026-03-08 09:00:00.046,15:00,900,,67324.72,,,,27.6031352,3599.8527301,0.007499999996070983,0.0068965517205250414,7.001953452877937e-06,1103.29505059,0.025018815397784028,67324.7185767753,9.544835610775237e-06,2.113970531958387e-06,,,,,,,,,,,,,0.001,2366.1,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.999,2366.1,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,,,,,,,,,,,0.0,21950.21,21950.21,21950.21,0.0,21950.21,,,,,,,,0.13557956848704408,0.13557956848704408,,-1202.572595118187,6235.238966173777,6235.730279293308,-1202.6673532656093
btc-updown-15m-1772974800,1772974800153,2026-03-08 09:00:00.153,15:00,900,,67324.72,,,,2031.1867978,5371.8393577,0.007999999995809049,0.006999999996332917,7.001953452877937e-06,1133.227042435484,1.7923917465247374,67324.71865906485,6.101893124110802e-06,1.991742681894948e-06,,,,,,,,,,,,,0.001,2366.1,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.999,2366.1,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,,,,,,,,,,,0.0,21950.21,21950.21,21950.21,0.0,21950.21,,,,,,,,0.13557956848704408,0.13557956848704408,,-1202.572595118187,6235.238966173777,6235.730279293308,-1202.6673532656093
btc-updown-15m-1772974800,1772974801180,2026-03-08 09:00:01.180,14:59,899,,67324.71,,-0.0014853385197534147,,11324.6894691,16414.438291899998,0.007999999995809049,0.0068965517205250414,8.41530073405101e-06,1446.13491533,7.831004803943737,67324.71631207352,-2.720925140753394e-06,-9.375566445424255e-06,,,,,,,,,,,,,0.001,2366.1,0.002,609.9,0.005,178.48,0.007,30.0,0.01,18765.73,0.999,2366.1,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,,,,,,,,,,,0.0,21950.21,21950.21,21950.21,0.0,21950.21,,,,,,,,0.13557956848704408,0.13557956848704408,,-1202.572595118187,6235.238966173777,6235.730279293308,-1202.6673532656093
btc-updown-15m-1772974800,1772974801269,2026-03-08 09:00:01.269,14:59,899,,67324.71,,-0.0014853385197534147,,11324.6894691,16414.438291899998,0.007499999996070983,0.0068965517205250414,8.41530073405101e-06,1446.13491533,7.831004803943737,67324.71631207352,-2.7676856584335496e-06,-9.375566445424255e-06,,,,,,,,,,,,,0.001,317726.17,0.002,609.9,0.005,178.48,0.007,30.0,0.009,8099.0,0.999,2366.1,0.998,609.9,0.995,178.48,0.993,30.0,0.99,18765.73,,,,,,,,,,,0.0,326643.55,326643.55,21950.21,0.0,21950.21,,,,,,,,0.9745671390113169,0.13557956848704408,,-464.88602219217483,80671.69171052398,6235.730279293308,-1202.6673532656093
btc-updown-15m-1772974800,1772974801270,2026-03-08 09:00:01.270,14:59,899,,67324.71,,-0.0014853385197534147,,11324.6894691,16414.438291899998,0.007499999996070983,0.0068965517205250414,8.41530073405101e-06,1446.13491533,7.831004803943737,67324.71631207352,-2.7676856584335496e-06,-9.375566445424255e-06,,,,,,,,,,,,,0.001,317726.17,0.002,609.9,0.005,178.48,0.007,30.0,0.009,8099.0,0.999,317726.17,0.998,609.9,0.995,178.48,0.993,30.0,0.991,8099.0,,,,,,,,,,,0.0,326643.55,326643.55,326643.55,0.0,326643.55,,,,,,,,0.9745671390113169,0.9745671390113169,,-464.88602219217483,80671.69171052398,80659.15054049787,-464.8137513060256
btc-updown-15m-1772974800,1772974802167,2026-03-08 09:00:02.167,14:58,898,,67324.71,,,,304.9809363,14688.2324304,0.004999999997380655,0.00655172413449879,8.41530073405101e-06,1422.9078878933333,0.21433638740420177,67324.7164151095,-3.0929525052236784e-06,-9.528609756781492e-06,,,,,,,,,,,,,0.001,317726.17,0.002,609.9,0.005,178.48,0.007,30.0,0.009,8099.0,0.999,317726.17,0.998,609.9,0.995,178.48,0.993,30.0,0.991,8099.0,,,,,,,,,,,0.0,326643.55,326643.55,326643.55,0.0,326643.55,,,,,,,,0.9745671390113169,0.9745671390113169,,-464.88602219217483,80671.69171052398,80659.15054049787,-464.8137513060256
btc-updown-15m-1772974800,1772974803159,2026-03-08 09:00:03.159,14:57,897,,67345.39,,3.0716805167067203,3.070194721938428,106198.3185604,119886.7788988,4.139999999996507,0.695666666663116,0.009652465395071398,4802.759845070968,22.111936050558604,67339.4626404977,0.0037308404919667026,0.008802207902869341,,,,,,,,,,,,,0.001,317726.17,0.002,609.9,0.005,178.48,0.007,30.0,0.009,8099.0,0.999,317726.17,0.998,609.9,0.995,178.48,0.993,30.0,0.991,8099.0,,,,,,,,,,,0.0,326643.55,326643.55,326643.55,0.0,326643.55,,,,,,,,0.9745671390113169,0.9745671390113169,,-68.89454152711161,105354.27375395456,105334.10146122695,-68.8813502173574
