market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1772967600,1772968102583,2026-03-08 07:08:22.583,6:38,398,,,,,,,,,,,,,,,,,,0.002,505.96,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,36.0,0.015,36.0,0.016,21.0,,,,,,,,,,,,,,,,,,,,,10014.929999999998,592.1,10607.029999999999,0.0,0.0,0.0,0.006999999999999999,,0.8883570613074535,,0.008523225402438574,,,0.8429319371727749,,,,,,
btc-updown-15m-1772967600,1772968102586,2026-03-08 07:08:22.586,6:38,398,,,,,,,,,,,,,,,,,,0.002,505.96,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,36.0,0.015,36.0,0.016,21.0,0.991,36.98,0.99,462.12,0.986,36.0,0.985,36.0,0.984,21.0,0.998,505.96,0.999,9508.97,,,,,,,10014.929999999998,592.1,10607.029999999999,592.1,10014.929999999998,10607.029999999999,0.006999999999999999,0.007000000000000006,0.8883570613074535,-0.8883570613074535,0.008523225402438574,0.9914767745975613,,0.8429319371727749,0.8429319371727749,,,,,
btc-updown-15m-1772967600,1772968103045,2026-03-08 07:08:23.045,6:37,397,,,,,,,,,,,,,,,,,,0.002,500.19,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,21.0,0.015,36.0,0.016,21.0,0.991,36.98,0.99,462.12,0.986,36.0,0.985,36.0,0.984,21.0,0.998,505.96,0.999,9508.97,,,,,,,10009.16,577.1,10586.26,592.1,10014.929999999998,10607.029999999999,0.006999999999999999,0.007000000000000006,0.8909718824211761,-0.8883570613074535,0.00851810413835471,0.9914767745975613,,0.8648414486224225,0.8429319371727749,,-12.488709899312793,-32.46631689596825,,
btc-updown-15m-1772967600,1772968103046,2026-03-08 07:08:23.046,6:37,397,,,,,,,,,,,,,,,,,,0.002,500.19,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,21.0,0.015,36.0,0.016,21.0,0.991,36.98,0.99,462.12,0.986,21.0,0.985,36.0,0.984,21.0,0.998,500.19,0.999,9508.97,,,,,,,10009.16,577.1,10586.26,577.1,10009.16,10586.26,0.006999999999999999,0.007000000000000006,0.8909718824211761,-0.8909718824211761,0.00851810413835471,0.9914818958616454,,0.8648414486224225,0.8648414486224225,,-12.488709899312793,-32.46631689596825,-32.620054461328515,-12.547847616121363
btc-updown-15m-1772967600,1772968103172,2026-03-08 07:08:23.172,6:37,397,,67534.46,,,,4516.8065649,4516.8065649,,,,4516.8065649,1.0,67534.46,0.0,0.0,,,0.002,500.19,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,21.0,0.015,36.0,0.016,21.0,0.991,36.98,0.99,462.12,0.986,21.0,0.985,36.0,0.984,21.0,0.998,500.19,0.999,9508.97,,,,,,,10009.16,577.1,10586.26,577.1,10009.16,10586.26,0.006999999999999999,0.007000000000000006,0.8909718824211761,-0.8909718824211761,0.00851810413835471,0.9914818958616454,,0.8648414486224225,0.8648414486224225,,-12.488709899312793,-32.46631689596825,-32.620054461328515,-12.547847616121363
btc-updown-15m-1772967600,1772968104249,2026-03-08 07:08:24.249,6:36,396,,67534.46,,,,528.1194787,5044.9260436,0.00999999999476131,0.00999999999476131,,2522.4630218,0.20936658897902893,67534.46,0.0,0.0,,,0.002,500.19,0.001,9508.97,,,,,,,0.009,36.98,0.01,462.12,0.014,21.0,0.015,36.0,0.016,21.0,0.991,36.98,0.99,462.12,0.986,21.0,0.985,36.0,0.984,21.0,0.998,500.19,0.999,9508.97,,,,,,,10009.16,577.1,10586.26,577.1,10009.16,10586.26,0.006999999999999999,0.007000000000000006,0.8909718824211761,-0.8909718824211761,0.00851810413835471,0.9914818958616454,,0.8648414486224225,0.8648414486224225,,-12.488709899312793,-32.46631689596825,-32.620054461328515,-12.547847616121363
btc-updown-15m-1772967600,1772968104460,2026-03-08 07:08:24.460,6:36,396,,67534.46,,,,528.1194787,5044.9260436,0.00999999999476131,0.00999999999476131,,2522.4630218,0.20936658897902893,67534.46,0.0,0.0,,,0.002,500.19,0.001,9508.97,,,,,,,0.01,481.19,0.015,36.0,0.016,21.0,0.018,12.71,0.02,2062.31,0.991,36.98,0.99,462.12,0.986,21.0,0.985,36.0,0.984,21.0,0.998,500.19,0.999,9508.97,,,,,,,10009.16,2613.21,12622.369999999999,577.1,10009.16,10586.26,0.008,0.007000000000000006,0.5859398829221454,-0.8909718824211761,0.006077441969471561,0.9914818958616454,,0.1979136770485342,0.8648414486224225,,-3.074090112600956,1076.7893011231208,-32.620054461328515,-12.547847616121363
btc-updown-15m-1772967600,1772968104461,2026-03-08 07:08:24.461,6:36,396,,67534.46,,,,528.1194787,5044.9260436,0.00999999999476131,0.00999999999476131,,2522.4630218,0.20936658897902893,67534.46,0.0,0.0,,,0.002,500.19,0.001,9508.97,,,,,,,0.01,481.19,0.015,36.0,0.016,21.0,0.018,12.71,0.02,2062.31,0.99,481.19,0.985,36.0,0.984,21.0,0.982,12.71,0.98,2062.31,0.998,500.19,0.999,9508.97,,,,,,,10009.16,2613.21,12622.369999999999,2613.21,10009.16,12622.369999999999,0.008,0.008000000000000007,0.5859398829221454,-0.5859398829221454,0.006077441969471561,0.9939225580305284,,0.1979136770485342,0.1979136770485342,,-3.074090112600956,1076.7893011231208,1078.202687769236,-3.0781251433256975
btc-updown-15m-1772967600,1772968104796,2026-03-08 07:08:24.796,6:36,396,,67534.46,,,,528.1194787,5044.9260436,0.00999999999476131,0.00999999999476131,,2522.4630218,0.20936658897902893,67534.46,0.0,0.0,,,0.002,468.51,0.001,8630.97,,,,,,,0.01,511.19,0.015,36.0,0.016,21.0,0.018,12.71,0.02,2047.31,0.99,481.19,0.985,36.0,0.984,21.0,0.982,12.71,0.98,2062.31,0.998,500.19,0.999,9508.97,,,,,,,9099.48,2628.21,11727.689999999999,2613.21,10009.16,12622.369999999999,0.008,0.008000000000000007,0.5517940873266602,-0.5859398829221454,0.0058257425742574255,0.9939225580305284,,0.2081987360218552,0.1979136770485342,,-413.6718011337499,920.0735059330827,1078.202687769236,-3.0781251433256975
btc-updown-15m-1772967600,1772968104796,2026-03-08 07:08:24.796,6:36,396,,67534.46,,,,528.1194787,5044.9260436,0.00999999999476131,0.00999999999476131,,2522.4630218,0.20936658897902893,67534.46,0.0,0.0,,,0.002,468.51,0.001,8630.97,,,,,,,0.01,511.19,0.015,36.0,0.016,21.0,0.018,12.71,0.02,2047.31,0.99,511.19,0.985,36.0,0.984,21.0,0.982,12.71,0.98,2047.31,0.998,468.51,0.999,8630.97,,,,,,,9099.48,2628.21,11727.689999999999,2628.21,9099.48,11727.689999999999,0.008,0.008000000000000007,0.5517940873266602,-0.5517940873266602,0.0058257425742574255,0.9941742574257425,,0.2081987360218552,0.2081987360218552,,-413.6718011337499,920.0735059330827,921.2610693365633,-414.20573835605927
