market_slug,timestamp_ms,timestamp_et,time_till_end,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-15m-1772969400,1772969880706,2026-03-08 07:38:00.706,7:00,420,,,,,,,,,,,,,,,,,,0.06,128.97,0.05,652.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,323.5,0.1,260.0,0.11,271.0,0.12,325.6,0.93,46.56,0.92,181.14,0.91,313.5,0.9,260.0,0.89,271.0,0.94,101.97,0.95,592.07,0.96,579.0,0.97,1263.69,0.98,1790.59,4414.32,1366.24,5780.5599999999995,1072.2,4327.32,5399.5199999999995,0.020000000000000004,0.009999999999999898,0.5272983932352575,-0.6028535869855098,0.068185712925645,0.9331347202585336,0.1769332535928524,0.3730237732755592,0.21236709569110238,0.16038564284591852,455.60251365786206,126.36533538490623,-1042.5418186974844,288.82546934112486
btc-updown-15m-1772969400,1772969880708,2026-03-08 07:38:00.708,7:00,420,,,,,,,,,,,,,,,,,,0.06,128.97,0.05,652.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,323.5,0.1,260.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,323.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,128.97,0.95,652.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4414.32,1366.24,5780.5599999999995,1366.24,4414.32,5780.5599999999995,0.020000000000000004,0.019999999999999907,0.5272983932352575,-0.5272983932352575,0.068185712925645,0.9318142870743549,0.1769332535928524,0.3730237732755592,0.3730237732755592,0.1769332535928524,455.60251365786206,126.36533538490623,127.26784203728326,458.8564463773334
btc-updown-15m-1772969400,1772969880769,2026-03-08 07:38:00.769,7:00,420,,,,,,,,,,,,,,,,,,0.06,85.05,0.05,652.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,353.5,0.1,260.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,323.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,128.97,0.95,652.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4370.4,1396.24,5766.639999999999,1366.24,4414.32,5780.5599999999995,0.020000000000000004,0.019999999999999907,0.5157526740008046,-0.5272983932352575,0.06627235517533833,0.9318142870743549,0.16866190737689915,0.3864951584254856,0.3730237732755592,0.1769332535928524,277.4539624145627,180.96646197658077,127.26784203728326,458.8564463773334
btc-updown-15m-1772969400,1772969880769,2026-03-08 07:38:00.769,7:00,420,,,,,,,,,,,,,,,,,,0.06,85.05,0.05,652.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,353.5,0.1,260.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,353.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,85.05,0.95,652.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4370.4,1396.24,5766.639999999999,1396.24,4370.4,5766.639999999999,0.020000000000000004,0.019999999999999907,0.5157526740008046,-0.5157526740008046,0.06627235517533833,0.9337276448246615,0.16866190737689915,0.3864951584254856,0.3864951584254856,0.16866190737689915,277.4539624145627,180.96646197658077,182.40761876318143,279.66351360175855
btc-updown-15m-1772969400,1772969880841,2026-03-08 07:38:00.841,7:00,420,,,,,,,,,,,,,,,,,,0.06,82.94,0.05,658.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,353.5,0.1,260.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,353.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,85.05,0.95,652.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4374.29,1396.24,5770.53,1396.24,4370.4,5766.639999999999,0.020000000000000004,0.019999999999999907,0.5160791123172396,-0.5157526740008046,0.06616470938011,0.9337276448246615,0.16940120568137915,0.3864951584254856,0.3864951584254856,0.16866190737689915,243.59161403620774,153.57090073118576,182.40761876318143,279.66351360175855
btc-updown-15m-1772969400,1772969880841,2026-03-08 07:38:00.841,7:00,420,,,,,,,,,,,,,,,,,,0.06,82.94,0.05,658.07,0.04,549.0,0.03,1293.69,0.02,1790.59,0.08,186.14,0.09,353.5,0.1,260.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,353.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,82.94,0.95,658.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4374.29,1396.24,5770.53,1396.24,4374.29,5770.53,0.020000000000000004,0.019999999999999907,0.5160791123172396,-0.5160791123172396,0.06616470938011,0.9338352906198899,0.16940120568137915,0.3864951584254856,0.3864951584254856,0.16940120568137915,243.59161403620774,153.57090073118576,154.60547802288616,245.23264336618246
btc-updown-15m-1772969400,1772969881138,2026-03-08 07:38:01.138,6:59,419,,,,,,,,,,,,,,,,,,0.06,91.94,0.05,736.07,0.04,579.0,0.03,1293.69,0.02,1790.59,0.08,143.53,0.09,383.5,0.1,380.0,0.11,271.0,0.12,325.6,0.92,186.14,0.91,353.5,0.9,260.0,0.89,271.0,0.88,325.6,0.94,82.94,0.95,658.07,0.96,549.0,0.97,1293.69,0.98,1790.59,4491.29,1503.63,5994.92,1396.24,4374.29,5770.53,0.020000000000000004,0.019999999999999907,0.49836528260593965,-0.5160791123172396,0.0678090627256126,0.9338352906198899,0.18435905942390715,0.35050511096479847,0.3864951584254856,0.16940120568137915,301.12376208887355,233.22545610910694,154.60547802288616,245.23264336618246
btc-updown-15m-1772969400,1772969881139,2026-03-08 07:38:01.139,6:59,419,,,,,,,,,,,,,,,,,,0.06,91.94,0.05,736.07,0.04,579.0,0.03,1293.69,0.02,1790.59,0.08,143.53,0.09,383.5,0.1,380.0,0.11,271.0,0.12,325.6,0.92,143.53,0.91,383.5,0.9,380.0,0.89,271.0,0.88,325.6,0.94,91.94,0.95,736.07,0.96,579.0,0.97,1293.69,0.98,1790.59,4491.29,1503.63,5994.92,1503.63,4491.29,5994.92,0.020000000000000004,0.019999999999999907,0.49836528260593965,-0.49836528260593965,0.0678090627256126,0.9321909372743873,0.18435905942390715,0.35050511096479847,0.35050511096479847,0.18435905942390715,301.12376208887355,233.22545610910694,234.01045024047747,302.137289471345
btc-updown-15m-1772969400,1772969881214,2026-03-08 07:38:01.214,6:59,419,,67527.62,,,,0.0,0.0,,,,0.0,,,,,,,0.06,91.94,0.05,736.07,0.04,579.0,0.03,1293.69,0.02,1790.59,0.08,143.53,0.09,383.5,0.1,380.0,0.11,271.0,0.12,325.6,0.92,143.53,0.91,383.5,0.9,380.0,0.89,271.0,0.88,325.6,0.94,91.94,0.95,736.07,0.96,579.0,0.97,1293.69,0.98,1790.59,4491.29,1503.63,5994.92,1503.63,4491.29,5994.92,0.020000000000000004,0.019999999999999907,0.49836528260593965,-0.49836528260593965,0.0678090627256126,0.9321909372743873,0.18435905942390715,0.35050511096479847,0.35050511096479847,0.18435905942390715,301.12376208887355,233.22545610910694,234.01045024047747,302.137289471345
btc-updown-15m-1772969400,1772969881456,2026-03-08 07:38:01.456,6:59,419,,67527.62,,,,0.0,0.0,,,,0.0,,,,,,,0.06,92.83,0.05,748.07,0.04,633.0,0.03,1293.69,0.02,1790.59,0.08,118.13,0.09,432.9,0.1,380.0,0.11,271.0,0.12,325.6,0.92,143.53,0.91,383.5,0.9,380.0,0.89,271.0,0.88,325.6,0.94,91.94,0.95,736.07,0.96,579.0,0.97,1293.69,0.98,1790.59,4558.18,1527.63,6085.81,1503.63,4491.29,5994.92,0.020000000000000004,0.019999999999999907,0.4979698676100634,-0.49836528260593965,0.06880072051573759,0.9321909372743873,0.184481525521151,0.36070907222298587,0.35050511096479847,0.18435905942390715,274.6668127428183,187.30026611213572,234.01045024047747,302.137289471345
